date	prec	tmax	tmin
19720517	0	32.3	26.9
19720518	0	38	27.6
19720519	0	37.9	28.9
19720520	0	39.9	28.9
19720521	0	40.1	28.6
19720522	0	40.8	29.4
19720523	0	40.3	28.3
19720524	0	39.5	27.9
19720525	0	39.6	28.2
19720526	43.6	36.2	21.8
19720527	0.2	29.8	22.7
19720528	0	34.1	26.6
19720529	800	37.9	27.1
19720530	0	37.5	27.6
19720631	0	38.8	27.6
19720601	0	37.6	27.4
19720602	0	35	27.9
19720603	0	36.3	27.5
19720604	0	36.8	28.6
19720605	0	40.6	29.9
19720606	0	41.1	29.6
19720607	0	41.4	29
19720608	0	41.9	29.2
19720609	0	41.2	28.7
19720610	0	40.4	29.3
19720611	0	39.8	28.9
19720612	0.3	40	28.5
19720613	0	39.8	28.5
19720614	0	37.6	27.7
19720615	0	36.6	27.4
19720616	0.3	35.7	28.5
19720617	0	36.8	27.9
19720618	0	36.6	27.9
19720619	11.4	36	24.5
19720620	0	34.9	27.6
19720621	0	37	26.8
19720622	0.7	35.4	25.3
19720623	10.2	35.2	24.3
19720624	0	33.3	26
19720625	0	35	26.2
19720626	4.2	36.5	25.9
19720627	16.1	33.4	23.5
19720628	0	30	25.6
19720629	0	33.9	26.4
19720630	0	34.1	27.4
19720701	16	32.1	23.4
19720702	0	30.1	25.4
19720703	5.7	34.4	24.9
19720704	0	32.4	26.8
19720705	0.2	33.5	26.5
19720706	0	32.7	26.9
19720707	1.2	34.6	25.8
19720708	14	34.8	25.3
19720709	6	33	24.8
19720710	0	34.5	25.9
19720711	5.8	34.9	25.2
19720712	0	35.4	27.3
19720713	0	36.5	27.2
19720714	0	37.4	27.9
19720715	0	37.5	27.6
19720716	1.6	37.6	26.3
19720717	7.2	37.7	25
19720718	0	36	26.3
19720719	8.5	36.8	25.5
19720720	1.7	36.3	25.3
19720721	0	36.4	26.5
19720722	0	36.4	26.6
19720723	0	33.6	26.8
19720724	0	34.7	26.8
19720725	0	36.5	26.5
19720726	0	38.3	27.5
19720727	0	38.6	27.5
19720728	0	38.6	27.5
19720729	0.4	37.8	27.2
19720730	0.2	37	26.3
19720731	0	37.3	27.1
19720801	0	36.6	28.4
19720802	0	36.3	27.1
19720803	0	37.1	27.3
19720804	0	37.7	27.8
19720805	0	36.5	28.7
19720806	0	37.2	27.7
19720807	0	37	27.6
19720808	0.3	38	27.4
19720809	0	37.4	27.7
19720810	1	36.9	24.5
19720811	2.4	36.6	24.7
19720812	0	35.8	26.8
19720813	5.1	35.6	24.8
19720814	0	36	26.3
19720815	0	36.9	26.3
19720816	0	37.2	26.6
19720817	38.8	36.4	22.9
19720818	6.2	34.6	24.3
19720819	0	34.8	25.8
19720820	2.8	34.8	25.7
19720821	0	33.7	26.2
19720822	0.5	33.2	25.8
19720823	0.2	34.3	26.4
19720824	0	35.6	26.7
19720825	0	36.4	26.3
